case_id|page|lot|sell_order|type_prop|size1|size2|size3|price|tumbon|aumper|province|Law_Court_ID|deed_no|addrno|bit_time1|bit_time2|bit_time3|bit_time4|bit_time5|bit_time6|link|timestamp|lat|long|eva_unit|eval_unit_price|onweb
ผบ.7095/2562|49/8|วันเสาร์/2564 - 1|98 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|99.9|4860000.0|ละหาร|บางบัวทอง|นนทบุรี|203|147202|78/83|1  06/11/2564 งดขายไม่มีผู้สู้ราคา 06/11/2564|2  27/11/2564 งดขายไม่มีผู้สู้ราคา 27/11/2564|3  18/12/2564 ขายได้ 18/12/2564|4  08/01/2565 ขายได้ 18/12/2564|5  29/01/2565 ขายได้ 18/12/2564|6  19/02/2565 ขายได้ 18/12/2564|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.7095&law_suit_year=2562&Law_Court_ID=203&deed_no=147202&addrno=78/83|2022-02-19 17:03:02.026426|13.95889711|100.39961916|20000||True
ผบ.929/2560|49/9|วันเสาร์/2564 - 1|99 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|16.0|895800.0|ไทรน้อย|ไทรน้อย|นนทบุรี|101|13064|7/511|1  06/11/2564 งดขายไม่มีผู้สู้ราคา 06/11/2564|2  27/11/2564 งดขายไม่มีผู้สู้ราคา 27/11/2564|3  18/12/2564 ขายได้ 18/12/2564|4  08/01/2565 ขายได้ 18/12/2564|5  29/01/2565 ขายได้ 18/12/2564|6  19/02/2565 ขายได้ 18/12/2564|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.929&law_suit_year=2560&Law_Court_ID=101&deed_no=13064&addrno=7/511|2022-02-19 17:03:07.203613|13.94398167|100.34941393|15000||True
ผบ.6900/2563|49/10|วันเสาร์/2564 - 1|100 - 1|ห้องชุด|0|0|25.92|1224625.0|บางรักพัฒนา|บางบัวทอง|นนทบุรี|145|3040,185332,185336|129/148|1  06/11/2564 ขายได้ 06/11/2564|2  27/11/2564 ขายได้ 06/11/2564|3  18/12/2564 ขายได้ 06/11/2564|4  08/01/2565 ขายได้ 06/11/2564|5  29/01/2565 ขายได้ 06/11/2564|6  19/02/2565 ขายได้ 06/11/2564|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.6900&law_suit_year=2563&Law_Court_ID=145&deed_no=3040,185332-185336&addrno=129/148|2022-02-19 17:03:15.451942|13.88808398|100.41093399|nodetail||True
ผบ.392/2562|49/11|วันเสาร์/2564 - 1|101 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|17.4|1032660.0|บางแม่นาง|บางใหญ่|นนทบุรี|101|94100|73/94|1  06/11/2564 ขายได้ 06/11/2564|2  27/11/2564 ขายได้ 06/11/2564|3  18/12/2564 ขายได้ 06/11/2564|4  08/01/2565 ขายได้ 06/11/2564|5  29/01/2565 ขายได้ 06/11/2564|6  19/02/2565 ขายได้ 06/11/2564|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.392&law_suit_year=2562&Law_Court_ID=101&deed_no=94100&addrno=73/94|2022-02-19 17:03:19.712629|13.87952438|100.37207017|18000||True
ผบ.1134/2562|49/12|วันเสาร์/2564 - 1|103 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|18.1|1010559.0|ไทรน้อย|ไทรน้อย|นนทบุรี|101|44476|41/48|1  06/11/2564 งดขายไม่มีผู้สู้ราคา 06/11/2564|2  27/11/2564 ขายได้ 27/11/2564|3  18/12/2564 ขายได้ 27/11/2564|4  08/01/2565 ขายได้ 27/11/2564|5  29/01/2565 ขายได้ 27/11/2564|6  19/02/2565 ขายได้ 27/11/2564|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.1134&law_suit_year=2562&Law_Court_ID=101&deed_no=44476&addrno=41/48|2022-02-19 17:03:22.656690|13.98534352|100.32474414|nodetail||True
ผบ.135/2563|49/13|วันเสาร์/2564 - 1|104 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|64.5|2526000.0|บางใหญ่|บางใหญ่|นนทบุรี|101|102678|89/183|1  06/11/2564 ขายได้ 06/11/2564|2  27/11/2564 ขายได้ 06/11/2564|3  18/12/2564 ขายได้ 06/11/2564|4  08/01/2565 ขายได้ 06/11/2564|5  29/01/2565 ขายได้ 06/11/2564|6  19/02/2565 ขายได้ 06/11/2564|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.135&law_suit_year=2563&Law_Court_ID=101&deed_no=102678&addrno=89/183|2022-02-19 17:03:26.340813|13.8377067|100.3804021|22000||True
ผบ.194/2563|49/14|วันเสาร์/2564 - 1|105 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|17.4|1032660.0|บางแม่นาง|บางใหญ่|นนทบุรี|101|107227|69/78|1  06/11/2564 งดขายส่งประกาศมิชอบ 06/11/2564|2  27/11/2564 ขายได้ 27/11/2564|3  18/12/2564 ขายได้ 27/11/2564|4  08/01/2565 ขายได้ 27/11/2564|5  29/01/2565 ขายได้ 27/11/2564|6  19/02/2565 ขายได้ 27/11/2564|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.194&law_suit_year=2563&Law_Court_ID=101&deed_no=107227&addrno=69/78|2022-02-19 17:03:31.780226|0.0026227|94.50820172|nodetail||True
ผบ.2395/2563|49/16|วันเสาร์/2564 - 1|107 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|17.0|965200.0|ละหาร|บางบัวทอง|นนทบุรี|101|83057|75/266|1  06/11/2564 ขายได้ 06/11/2564|2  27/11/2564 ขายได้ 06/11/2564|3  18/12/2564 ขายได้ 06/11/2564|4  08/01/2565 ขายได้ 06/11/2564|5  29/01/2565 ขายได้ 06/11/2564|6  19/02/2565 ขายได้ 06/11/2564|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.2395&law_suit_year=2563&Law_Court_ID=101&deed_no=83057&addrno=75/266|2022-02-19 17:03:35.907646|13.94913492|100.40646017|16000||True
5165/2562|49/17|วันเสาร์/2564 - 1|108 - 1|ห้องชุด|0|0|23.05|1177855.0|บางรักพัฒนา|บางบัวทอง|นนทบุรี|705|14891,178897|8/192|1  06/11/2564 งดขายไม่มีผู้สู้ราคา 06/11/2564|2  27/11/2564 ขายได้ 27/11/2564|3  18/12/2564 ขายได้ 27/11/2564|4  08/01/2565 ขายได้ 27/11/2564|5  29/01/2565 ขายได้ 27/11/2564|6  19/02/2565 ขายได้ 27/11/2564|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=5165&law_suit_year=2562&Law_Court_ID=705&deed_no=14891,178897(%BA%D2%A7%CA%E8%C7%B9)&addrno=8/192|2022-02-19 17:03:43.612253|13.8902785|100.40365283|9000||True
ผบ.1569/2563|49/18|วันเสาร์/2564 - 1|109 - 1|ที่ดินพร้อมสิ่งปลูกสร้าง|0|0|15.8|926600.0|บางรักน้อย|เมืองนนทบุรี(ตลาดขวัญ)|นนทบุรี|101|161352|71/148|1  06/11/2564 ขายได้ 06/11/2564|2  27/11/2564 ขายได้ 06/11/2564|3  18/12/2564 ขายได้ 06/11/2564|4  08/01/2565 ขายได้ 06/11/2564|5  29/01/2565 ขายได้ 06/11/2564|6  19/02/2565 ขายได้ 06/11/2564|http://asset.led.go.th/newbidreg/asset_open.asp?law_suit_no=%BC%BA.1569&law_suit_year=2563&Law_Court_ID=101&deed_no=161352&addrno=71/148|2022-02-19 17:03:49.193031|13.86999308|100.45872149|35000||True
